Packet Number,Timestamp,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Channel 15,Channel 16,Channel 17,Channel 18
1,25756,10.1,14.0,19.3,7.0,25.5,12.5,16.1,19.2,53.0,33.0,151.4,12.0,28.4,27.0,241.1,1176.4,178.3,19.6
2,325756,10.4,14.1,16.0,5.9,20.3,8.0,11.5,14.1,51.9,27.3,163.0,9.4,27.4,24.8,202.6,968.1,131.1,17.7
3,625756,9.9,13.1,15.2,5.9,19.9,8.7,7.9,10.3,59.7,21.4,157.2,7.1,27.4,22.7,153.5,716.0,84.9,16.1
4,925756,12.5,18.1,25.8,9.0,33.1,15.8,8.6,11.0,68.4,23.7,183.8,7.7,30.7,25.4,173.0,815.5,95.0,16.7
5,1225756,13.0,19.4,31.5,10.7,37.8,18.6,8.1,10.6,73.2,22.0,179.7,7.2,31.8,26.5,171.7,834.9,84.1,16.7
6,1525756,9.4,12.8,14.3,5.3,17.2,6.2,12.3,15.1,51.9,30.1,146.6,9.8,26.3,24.0,196.9,915.3,142.8,18.3
7,1825756,9.4,12.8,14.6,5.6,19.6,8.2,8.6,11.2,55.3,22.7,139.1,7.4,26.3,23.7,179.0,833.5,99.6,16.7
8,2125756,8.6,11.6,12.8,5.6,19.4,8.4,7.1,9.4,73.9,20.2,193.7,6.4,32.8,27.3,174.6,819.5,66.9,16.1
9,2425756,62.9,26.0,35.4,61.2,39.8,102.3,12.5,15.6,227.2,34.6,191.3,9.2,47.2,36.0,186.8,983.2,112.0,16.7
10,2725756,9.6,12.5,14.3,5.3,17.2,7.1,8.8,11.0,83.7,22.6,180.8,7.3,32.3,26.8,186.3,844.6,99.2,16.4
11,3025756,8.1,10.3,11.3,4.2,12.0,4.7,7.1,9.1,102.7,19.1,205.3,5.9,32.9,25.1,139.1,603.9,70.2,14.5
12,3325756,7.3,9.0,9.5,3.9,12.0,5.1,7.4,9.6,64.6,20.7,166.1,6.9,28.4,24.8,169.7,794.7,75.5,15.2
13,3625756,7.8,9.7,10.4,3.8,10.6,4.4,20.0,23.3,119.9,29.0,213.9,11.3,37.6,31.1,144.0,954.1,91.0,16.7
14,3925756,8.1,10.3,11.6,4.2,13.2,4.9,7.1,9.4,100.1,20.7,202.3,6.2,31.3,24.3,133.7,588.5,69.6,14.8
15,4225756,6.1,7.5,8.0,2.5,8.5,3.3,7.3,9.3,77.7,19.2,184.8,6.0,30.7,25.7,165.2,754.4,72.6,15.2w
16,4525756,8.1,10.3,11.0,3.9,12.0,4.6,7.4,9.4,91.5,21.1,202.3,6.3,31.3,23.8,133.9,568.4,70.8,14.5
17,4825756,5.5,6.8,7.4,2.5,7.8,2.6,6.1,8.1,79.2,17.7,182.1,5.4,29.4,23.5,139.7,616.2,59.3,14.2
18,5125756,7.3,9.0,9.5,3.6,10.6,4.0,6.4,8.4,117.7,18.6,213.5,5.6,32.6,24.6,122.5,518.5,58.7,15.2
19,5425756,6.3,7.8,8.3,3.3,9.6,3.7,6.1,8.1,82.9,17.3,174.9,5.0,28.4,22.1,122.6,529.6,55.9,14.5
20,5725756,6.9,9.4,9.8,3.3,10.6,4.0,6.3,7.8,101.6,18.1,197.8,5.4,30.7,22.9,120.1,511.0,53.9,14.2
21,6025756,8.1,10.3,11.9,4.4,13.9,6.0,6.3,8.1,132.6,18.6,243.9,5.4,36.5,26.5,123.7,517.8,53.0,14.8
22,6325756,6.6,8.4,8.6,3.3,8.7,3.0,6.9,9.3,83.3,19.1,180.1,5.9,29.2,22.9,122.3,544.7,65.0,15.2
23,6625756,11.2,18.4,41.6,12.6,40.0,22.8,6.8,8.8,186.5,19.5,290.6,6.0,42.0,30.3,138.0,567.4,61.0,15.5
24,6925756,6.6,8.1,8.9,3.3,9.6,4.0,6.3,8.3,95.6,17.9,193.7,5.2,30.0,22.7,115.5,492.7,57.6,14.8
25,7225756,7.6,9.7,10.4,4.2,11.0,4.0,7.1,9.1,94.5,19.2,197.8,6.0,31.0,24.0,133.1,595.7,64.4,15.2
26,7525756,13.0,15.6,21.7,7.2,23.6,10.7,5.9,7.9,113.2,20.0,210.8,5.6,32.6,23.7,112.8,478.6,45.9,14.2
27,7825756,8.9,11.3,12.5,4.4,14.2,5.5,7.1,9.1,111.0,21.2,230.3,6.2,34.7,26.0,136.4,571.6,69.4,15.5
28,8125756,49.8,17.5,19.0,7.8,19.4,11.6,10.0,12.7,172.7,22.3,275.0,6.9,42.8,29.7,119.6,498.4,62.0,16.1
29,8425756,6.9,8.4,8.9,3.3,11.0,4.7,6.3,7.9,80.3,18.1,176.0,5.6,28.7,22.7,122.0,542.2,50.7,15.2
30,8725756,7.1,8.7,9.5,3.6,9.9,3.7,5.8,7.6,97.5,17.8,211.8,4.9,30.8,22.1,98.4,392.4,48.0,14.2
31,9025756,7.3,9.0,10.1,3.6,10.6,4.0,7.1,9.1,78.1,21.8,182.8,5.8,29.4,22.1,109.8,480.4,69.8,15.5
32,9325756,7.4,9.0,10.4,3.6,9.9,3.7,6.8,8.8,101.2,19.7,216.2,5.8,33.4,24.6,120.1,490.8,62.4,15.2
33,9625756,7.1,9.0,10.1,3.9,11.8,4.4,6.6,8.6,94.5,18.1,203.6,5.7,32.3,23.5,105.5,453.5,53.7,15.5
34,9925756,7.8,10.0,11.0,4.2,12.5,4.9,6.8,8.8,91.1,19.8,201.2,6.0,31.5,23.2,119.3,501.6,64.4,15.2
35,10225756,7.6,9.7,10.7,4.2,11.5,4.7,6.8,8.8,90.0,19.4,199.9,6.0,31.0,22.9,110.6,466.8,62.5,15.2
36,10525756,6.9,9.4,9.8,3.3,10.1,4.0,6.3,8.3,124.4,18.1,233.0,5.6,35.2,25.2,112.8,461.4,55.3,15.2
37,10825756,9.1,11.5,13.4,4.4,14.4,5.5,7.4,9.6,135.6,21.9,247.0,6.5,37.0,26.8,124.7,505.9,69.8,16.1
38,11125756,8.6,11.6,12.8,5.0,16.7,6.9,7.4,9.4,95.6,22.1,207.7,7.3,33.1,26.2,150.2,676.5,73.4,16.1
39,11425756,8.6,11.3,11.9,4.4,13.5,5.3,17.4,20.9,127.4,35.3,234.7,12.8,37.0,28.9,168.4,765.9,188.2,20.2
40,11725756,7.4,9.0,11.0,3.8,12.2,4.6,7.4,9.4,135.2,20.0,245.3,6.4,37.8,28.4,143.5,623.0,72.1,16.1
41,12025756,6.1,7.5,8.0,2.7,8.7,3.3,5.9,7.8,75.4,18.3,177.0,5.4,27.9,21.1,104.6,435.5,49.2,14.8
42,12325756,6.1,7.8,8.6,3.3,9.9,4.0,5.9,7.9,105.7,17.3,200.9,5.0,32.3,23.7,109.5,475.8,46.9,14.8
43,12625756,10.4,13.7,17.2,7.5,26.9,12.5,13.5,16.0,106.1,30.4,211.1,9.9,33.6,25.7,134.5,586.4,116.0,18.0
44,12925756,6.1,8.4,8.9,3.3,10.3,4.0,5.8,7.8,33.2,18.1,123.1,5.2,20.3,16.4,99.8,443.8,52.0,14.5
45,13225756,8.4,11.3,13.4,5.6,20.8,8.9,6.9,9.3,52.2,21.4,168.9,6.4,27.1,21.9,129.4,577.0,70.2,15.5
46,13525756,8.4,11.3,13.4,5.6,20.6,8.7,7.4,9.8,39.9,21.0,135.7,6.5,24.5,21.3,138.8,648.5,74.4,16.1
47,13825756,7.8,10.9,11.9,5.0,17.4,6.4,6.8,8.8,32.5,18.3,111.5,5.7,21.1,19.5,136.9,653.5,65.0,14.8
48,14125756,12.7,16.8,22.3,8.7,30.3,13.8,8.4,11.0,61.6,26.4,157.6,7.9,26.3,21.9,135.3,616.6,86.6,16.1
49,14425756,8.6,11.2,13.7,5.5,20.3,8.9,6.9,8.9,47.8,19.2,133.0,6.1,23.7,20.0,120.4,561.9,60.6,15.5
50,14725756,6.3,7.8,8.3,3.3,8.0,3.0,5.9,7.6,44.4,18.6,118.0,5.3,20.5,17.2,106.0,478.6,52.2,14.2
51,15025756,8.1,10.6,12.5,5.3,18.9,8.2,7.3,9.3,47.0,20.3,139.8,6.4,25.3,21.6,135.6,638.1,70.2,15.8
52,15325756,6.9,9.4,9.8,3.6,10.8,4.0,5.9,7.8,47.8,18.2,126.9,5.3,21.3,17.2,96.0,425.5,52.2,14.2
53,15625756,8.4,11.3,13.4,5.6,18.2,6.9,7.6,9.6,38.1,19.8,109.5,6.5,21.1,18.4,119.0,569.5,72.1,16.4
54,15925756,8.4,10.3,11.9,4.2,15.1,5.5,6.6,8.6,41.4,19.2,121.0,5.8,21.1,18.1,113.6,520.6,62.7,14.8
55,16225756,7.8,10.0,11.3,4.2,12.5,4.4,6.1,7.9,42.2,18.9,120.0,5.4,20.6,17.5,111.7,507.4,53.7,14.2
56,16525756,6.1,7.5,8.3,3.0,8.0,2.6,5.3,6.9,36.2,16.6,112.9,4.8,19.0,16.2,96.8,436.6,44.0,13.3
57,16825756,6.3,8.7,9.2,3.3,10.1,3.7,5.8,7.4,41.0,16.2,110.1,4.8,20.3,17.2,100.8,472.2,45.5,13.6
58,17125756,6.1,7.8,8.9,3.6,10.1,4.0,5.6,7.1,34.7,16.3,106.0,4.7,19.0,16.7,102.5,475.7,46.3,13.6
59,17425756,16.8,43.6,169.5,32.7,111.8,64.3,6.8,8.9,114.7,19.5,230.6,5.9,36.2,29.4,181.1,821.6,59.9,15.2
60,17725756,7.6,9.3,10.7,4.4,12.2,4.6,6.6,8.6,60.1,19.0,140.5,5.8,25.8,22.4,150.2,717.1,58.7,14.2
61,18025756,6.9,8.4,9.2,3.3,10.6,3.5,6.4,8.1,49.3,17.7,132.7,5.3,23.7,20.3,136.1,626.3,56.1,14.5
62,18325756,10.1,14.1,19.3,7.8,30.0,14.3,7.8,9.9,81.8,21.6,183.2,6.5,32.9,28.6,194.7,931.9,73.4,16.4
63,18625756,7.6,10.0,11.6,4.7,13.9,6.0,6.8,8.8,66.8,19.2,159.9,5.8,27.4,23.2,144.8,681.9,58.9,15.5
64,18925756,8.4,10.9,13.4,5.9,19.2,8.9,6.8,8.6,84.0,19.2,189.6,5.8,31.0,25.4,151.9,713.9,58.7,15.8
65,19225756,9.2,11.3,13.4,5.9,19.4,8.2,7.9,10.4,58.3,21.9,153.8,6.7,27.9,24.0,161.4,769.9,70.2,15.5
66,19525756,9.9,14.1,19.3,7.8,25.0,12.5,7.3,9.4,71.3,19.3,165.4,6.2,26.8,20.8,107.4,472.9,67.7,15.5
67,19825756,7.8,10.6,12.8,5.3,19.9,8.9,6.4,8.4,46.7,19.6,146.6,6.1,24.5,19.7,113.6,506.7,59.3,14.5
68,20125756,8.6,10.9,13.1,5.3,19.1,8.2,7.6,9.8,65.0,20.6,161.6,6.4,26.0,21.1,114.7,514.2,72.5,15.8
