Packet Number,Timestamp,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Channel 15,Channel 16,Channel 17,Channel 18,CGM
1,126760,9.4,15.3,27.6,9.2,32.6,19.2,6.9,8.9,143.8,18.6,275.6,6.1,42.3,28.6,130.7,548.6,55.9,15.2,80.0
2,426760,17.3,9.0,9.8,5.6,12.0,8.9,6.4,8.1,63.9,16.3,134.0,5.2,26.6,22.1,146.4,679.4,48.4,14.2,83.0
3,726760,11.7,17.8,28.8,9.0,36.0,20.1,8.3,10.8,171.9,22.4,284.2,7.2,44.4,31.9,168.9,715.0,77.8,17.7,86.0
4,1026760,9.9,16.6,33.6,9.2,36.4,17.9,7.9,10.4,110.2,20.0,216.3,6.4,34.4,23.2,109.2,442.7,75.0,17.1,87.0
5,1326760,8.4,12.8,20.8,6.7,23.6,12.7,7.9,10.4,97.9,20.0,196.1,6.4,32.3,23.2,114.1,491.2,73.2,17.4,89.5
6,1626760,7.4,10.6,13.4,4.4,16.5,7.8,7.3,9.8,84.4,19.9,181.5,6.1,28.7,21.1,111.1,465.0,69.8,16.1,90.0
7,1926760,7.8,11.6,16.6,5.6,18.9,9.6,7.8,10.1,96.8,19.2,199.5,6.2,31.0,21.9,96.5,413.6,68.3,17.1,92.0
8,2226760,9.6,13.7,18.7,6.4,24.1,11.8,7.4,9.6,118.4,20.7,227.2,6.3,36.2,26.2,144.3,620.1,65.6,16.7,94.0
9,2526760,7.6,10.3,12.5,4.2,14.2,6.2,6.9,8.9,91.9,19.8,208.4,6.1,31.0,22.9,128.5,554.8,59.5,15.5,89.5
10,2826760,7.6,10.3,12.5,4.2,14.9,6.7,7.3,9.3,87.4,18.9,189.6,6.0,29.0,21.1,110.3,472.5,65.2,16.1,87.0
11,3126760,8.4,12.2,15.2,5.0,17.7,8.2,7.3,9.3,96.0,19.0,196.5,6.0,29.7,21.1,106.6,448.8,64.6,16.1,87.0
12,3426760,19.7,66.8,307.3,61.2,206.7,122.2,7.6,9.8,142.7,21.0,256.2,6.5,40.1,28.1,142.4,603.2,68.7,16.7,88.0
13,3726760,9.2,13.1,19.6,6.1,23.4,11.8,7.3,9.6,118.8,19.8,228.9,6.3,35.4,26.8,151.9,672.6,68.3,16.1,88.0
14,4026760,7.6,10.3,12.8,4.2,15.6,7.4,7.8,9.8,84.8,20.7,187.3,6.7,32.3,27.6,196.1,892.7,75.5,15.5,87.0
