Packet Number,Timestamp,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Channel 15,Channel 16,Channel 17,Channel 18,CGM
15,4326760,6.1,7.8,11.0,4.2,12.8,6.4,6.8,8.8,124.4,21.1,226.2,6.3,35.4,27.6,161.3,694.8,61.6,15.2,88.0
16,4626760,6.6,9.6,16.0,5.3,18.4,10.0,6.8,8.9,146.5,21.4,249.7,6.4,38.9,29.5,164.6,708.9,58.9,14.8,87.0
17,4926760,7.1,10.3,18.1,5.8,20.1,10.2,5.9,7.8,101.6,18.7,200.9,5.4,31.5,24.6,141.0,618.3,47.6,13.6,87.0
18,5226760,4.6,6.5,8.0,2.5,8.5,4.0,5.9,7.8,111.0,18.5,211.8,5.6,32.9,25.2,137.2,593.6,49.3,14.2,86.0
19,5526760,5.3,7.5,10.1,3.3,11.5,6.0,6.8,8.9,122.9,21.5,221.4,6.4,34.7,27.3,161.3,691.6,63.1,15.2,86.0
20,5826760,5.3,7.5,9.8,3.3,11.3,6.0,6.3,8.3,123.3,20.2,222.1,6.0,34.4,26.0,145.3,625.9,55.6,14.2,86.0
21,6126760,5.3,7.5,10.7,3.6,12.0,6.2,6.3,8.3,136.0,20.7,238.1,6.0,35.4,27.0,147.8,620.9,54.7,14.2,86.0
22,6426760,5.3,7.5,10.7,3.9,12.8,6.4,6.1,7.8,125.9,20.2,228.9,5.8,34.1,26.2,144.5,605.0,50.7,13.9,86.0
23,6726760,6.1,7.8,10.7,3.9,12.0,6.0,6.4,8.4,125.9,21.4,230.3,6.2,34.4,26.2,146.7,614.4,57.8,14.5,87.0
24,7026760,6.1,7.5,9.8,3.3,11.3,5.3,6.9,9.1,89.3,20.7,185.9,6.3,30.5,24.3,142.9,628.4,65.0,15.2,87.0
25,7326760,7.3,10.3,12.2,4.4,15.6,6.9,7.1,9.3,75.1,20.4,172.6,6.3,28.7,23.2,145.6,639.9,66.7,15.5,87.0
26,7626760,5.3,6.5,8.9,3.3,10.1,4.9,6.6,8.4,116.2,19.6,205.0,6.0,33.1,26.2,157.3,687.0,57.6,15.2,89.0
27,7926760,5.3,6.5,8.9,3.3,9.6,4.7,6.8,8.6,100.1,20.4,199.2,6.1,30.7,24.6,156.5,669.3,60.6,15.2,88.0
28,8226760,5.8,7.5,9.5,3.3,11.0,5.5,6.4,8.4,129.3,20.6,243.2,6.2,36.5,26.2,132.9,570.2,56.2,15.2,87.0
29,8526760,3.8,4.7,6.2,2.5,6.4,3.3,5.8,7.8,109.1,17.0,212.8,5.2,32.1,23.2,121.2,510.3,48.4,14.2,87.0
30,8826760,3.8,4.7,6.2,2.5,6.4,2.6,5.6,7.3,94.9,17.3,206.7,5.2,31.0,22.7,120.1,508.8,44.7,13.9,79.0
31,9126760,4.6,5.6,6.2,2.5,6.4,2.6,5.8,7.6,94.5,18.2,193.0,5.4,28.9,21.6,110.6,458.9,48.4,14.2,82.0
32,9426760,7.8,7.4,10.4,3.6,11.8,6.0,6.9,8.9,127.4,19.5,233.0,6.1,34.9,24.6,112.5,457.4,61.0,15.5,81.0
33,9726760,7.6,11.2,21.7,7.0,23.9,13.1,7.6,10.1,145.0,23.6,258.2,7.1,38.1,28.4,150.8,638.8,74.2,16.4,84.0
34,10026760,5.3,7.5,8.0,3.0,9.2,4.0,6.3,8.3,116.2,18.3,225.1,5.6,33.7,23.5,109.2,449.2,54.1,14.2,75.5
35,10326760,5.3,6.8,8.3,3.0,8.7,3.5,5.8,7.6,107.2,16.9,216.9,5.0,31.8,21.3,90.0,359.7,48.6,14.2,73.0
36,10626760,5.3,7.5,8.9,3.3,9.2,4.0,6.4,8.4,121.4,18.1,240.8,5.7,35.2,25.2,123.4,514.9,60.8,14.2,78.0
37,10926760,8.4,11.3,13.1,5.0,17.4,8.0,8.8,11.3,60.5,21.8,169.8,7.5,29.7,23.5,142.4,628.7,91.4,18.0,82.0
38,11226760,6.9,9.4,9.8,3.3,12.5,5.3,8.8,11.2,59.4,21.4,172.2,7.3,28.9,22.9,143.7,633.1,94.2,17.7,89.0
39,11526760,6.9,8.4,9.8,3.3,11.5,4.7,9.2,11.7,61.6,21.8,175.0,7.6,29.0,23.5,142.1,630.2,98.8,18.0,90.0
40,11826760,6.9,8.4,9.8,3.3,11.3,4.7,8.4,10.9,60.1,20.8,171.9,6.9,27.6,22.1,139.1,604.0,91.2,17.1,89.5
41,12126760,6.3,8.4,9.5,3.3,10.8,4.4,8.3,10.6,62.0,20.6,172.5,6.9,28.4,23.2,146.7,653.5,89.8,16.7,88.0
42,12426760,6.9,8.4,9.8,3.3,11.3,4.7,8.8,10.9,59.0,21.0,170.9,7.2,28.7,22.9,140.2,627.3,92.3,17.4,88.0
43,12726760,6.1,8.4,9.5,3.3,10.6,4.0,7.3,9.3,54.1,18.9,150.7,6.1,24.0,18.4,97.8,410.4,70.0,15.8,90.0
44,13026760,6.1,8.4,9.8,3.3,10.6,4.0,6.8,8.8,51.5,18.9,151.5,6.0,23.5,17.8,93.8,397.1,63.9,15.5,92.0
45,13326760,8.4,11.3,12.2,4.2,15.3,6.2,8.8,11.0,76.2,23.1,206.0,7.6,32.9,26.5,171.4,772.0,90.4,17.7,85.5
46,13626760,6.1,8.4,8.9,3.3,10.6,4.4,8.4,10.9,54.5,20.2,163.7,7.1,27.6,22.7,147.8,679.8,88.1,17.1,80.0
47,13926760,6.1,7.5,8.0,3.0,9.2,3.3,8.4,10.7,60.5,20.6,164.0,6.9,26.6,21.3,128.8,570.6,86.2,17.0,87.5
48,14226760,6.1,7.8,8.6,3.3,9.9,3.7,7.1,9.3,52.3,18.5,148.7,6.0,23.7,17.8,96.5,407.9,67.7,15.8,88.0
49,14526760,6.1,8.4,8.9,3.3,10.6,4.7,9.2,11.8,60.5,21.8,165.4,7.6,28.7,22.9,145.3,664.3,97.5,18.0,85.0
50,14826760,6.1,8.4,8.9,3.3,10.6,4.7,8.6,11.0,53.4,20.6,154.5,7.1,26.6,21.6,140.4,637.0,91.2,17.1,76.0
51,15126760,6.1,8.4,8.9,3.3,11.3,4.7,8.7,11.2,51.1,20.6,149.7,7.1,26.0,21.6,142.9,654.6,92.0,17.4,84.0
52,15426760,6.1,8.4,8.9,3.3,10.6,4.4,7.1,9.1,45.5,18.5,136.4,6.0,22.4,17.5,98.1,422.2,68.3,15.8,84.0
53,15726760,6.1,8.4,9.5,3.3,11.0,4.7,6.8,8.8,41.4,18.1,130.6,5.7,21.9,17.0,100.1,433.4,65.2,15.5,83.5
54,16026760,6.1,8.1,8.9,3.3,10.6,4.7,8.1,10.1,48.9,19.5,144.3,6.6,24.7,20.3,126.1,576.7,79.3,16.7,78.0
55,16326760,6.1,8.4,8.9,3.3,10.6,4.0,7.9,10.3,45.1,19.4,147.7,6.5,26.0,21.3,146.5,656.8,84.5,16.4,77.0
56,16626760,6.3,8.7,9.8,3.3,12.2,4.9,7.8,9.9,49.3,18.6,134.0,6.3,24.0,21.1,150.2,687.6,81.1,15.8,79.0
57,16926760,6.1,8.4,8.9,3.3,9.2,3.5,6.9,8.9,42.2,18.1,127.9,5.7,24.0,20.5,142.6,668.3,63.3,15.5,78.5
58,17226760,6.9,9.4,10.4,3.6,12.8,5.3,7.9,10.1,51.5,20.6,152.1,6.7,25.2,20.0,121.7,528.2,79.7,16.4,81.0
59,17526760,7.6,10.3,10.7,4.2,11.7,4.7,7.8,9.8,54.9,19.9,154.5,6.3,26.6,21.3,134.2,607.6,70.0,16.1,79.0
60,17826760,6.1,7.5,8.3,3.3,9.9,4.0,8.1,10.4,43.3,19.4,132.3,6.5,23.7,20.5,145.3,662.9,85.3,16.4,80.0
61,18126760,6.1,8.4,8.9,3.3,10.3,4.4,8.3,10.6,53.0,19.2,149.7,6.8,26.8,22.1,143.4,671.8,83.5,16.7,78.5
62,18426760,5.3,7.5,8.0,3.0,9.4,4.0,8.8,10.9,51.1,20.2,147.4,7.1,25.0,20.3,128.8,576.3,93.3,17.1,75.0
63,18726760,6.6,8.4,9.2,3.3,10.8,4.4,8.1,10.6,57.1,20.3,160.3,6.8,27.1,21.1,127.1,564.8,81.8,17.0,75.5
64,19026760,6.9,9.4,9.8,3.3,11.3,4.7,7.8,9.8,53.8,20.2,154.5,6.5,25.8,20.3,117.4,514.6,74.6,16.7,77.0
65,19326760,6.9,9.4,9.8,3.3,11.3,4.7,7.8,9.8,54.9,20.2,156.6,6.4,26.3,20.3,122.0,539.7,72.5,16.4,77.5
66,19626760,6.9,9.4,9.8,3.3,12.0,5.1,8.6,10.9,64.2,23.5,176.0,7.7,28.7,22.1,125.5,544.0,86.6,17.4,77.0
67,19926760,6.1,8.4,8.9,3.3,10.8,4.7,8.1,10.3,55.3,19.4,152.5,6.5,26.8,22.7,155.4,718.2,82.8,16.4,75.5
68,20226760,6.1,8.1,8.6,3.3,10.8,4.4,8.3,10.6,45.5,20.3,139.1,6.7,24.5,20.5,138.8,619.0,86.4,16.4,72.0
69,20526760,5.3,7.5,7.1,2.5,7.1,2.6,7.8,9.8,60.8,19.5,155.5,6.7,25.8,21.1,130.4,579.9,76.5,16.1,73.5
70,20826760,6.9,9.4,9.8,3.3,11.3,4.0,7.6,9.8,44.0,19.5,145.6,6.3,25.0,21.1,146.7,654.2,79.3,15.8,74.0
71,21126760,5.8,7.5,8.3,3.0,9.4,4.0,7.1,9.1,36.6,17.8,119.0,5.8,21.9,18.4,122.3,557.3,65.4,15.5,73.0
72,21426760,6.1,8.4,9.2,3.3,10.6,4.4,6.4,8.4,37.0,17.3,126.9,5.6,21.1,17.8,110.0,504.1,57.2,15.2,72.0
73,21726760,6.1,7.5,8.9,3.3,9.9,4.0,7.6,9.8,35.4,19.4,123.8,6.3,21.3,17.2,106.6,470.4,75.9,16.1,70.5
74,22026760,6.1,7.5,8.0,3.3,9.9,4.0,7.6,9.8,34.3,18.9,120.7,6.3,20.8,16.7,104.3,459.2,77.2,16.1,68.0
75,22326760,5.3,7.5,8.0,3.3,9.4,4.0,7.8,10.1,35.8,19.4,123.8,6.7,21.1,17.0,104.9,466.8,79.7,16.1,65.0
76,22626760,5.3,7.5,8.0,2.5,9.2,4.0,7.8,10.3,35.0,19.4,124.4,6.7,21.1,17.0,106.0,475.4,80.5,16.1,64.0
77,22926760,5.3,7.5,8.0,2.5,8.7,3.3,7.8,9.9,34.7,19.2,123.4,6.4,20.8,17.0,105.2,466.1,80.5,16.1,63.0
78,23226760,5.3,7.5,8.0,2.5,9.2,3.3,7.9,10.1,34.3,19.4,124.8,6.4,20.8,17.0,105.5,468.9,80.9,16.4,64.0
79,23526760,5.3,7.5,8.0,2.5,8.5,3.3,7.8,10.3,33.9,18.9,123.1,6.7,20.8,17.0,106.3,474.3,81.8,16.1,64.0
80,23826760,6.9,9.4,9.8,3.3,10.6,4.0,7.8,9.8,57.5,19.8,170.2,6.4,27.6,23.5,160.3,722.8,79.1,16.1,65.0
81,24126760,6.1,8.4,8.9,3.0,9.2,3.5,7.9,10.1,51.9,18.5,152.1,6.6,27.3,23.5,152.4,746.2,74.6,16.7,64.0
82,24426760,6.9,9.4,9.8,3.3,11.3,4.7,8.1,10.4,55.6,19.4,158.6,6.7,27.4,23.2,148.6,707.0,79.9,17.0,72.0
83,24726760,5.8,7.5,8.0,2.7,9.2,3.3,7.3,9.3,44.0,17.7,137.7,6.0,24.8,21.6,155.1,732.9,70.2,15.5,75.0
84,25026760,6.1,8.4,8.3,3.0,9.4,3.5,7.3,9.3,46.3,18.1,142.5,6.0,24.7,21.6,158.7,737.6,71.5,15.2,74.0
85,25326760,5.3,6.5,7.1,2.5,8.0,3.3,7.8,10.1,42.2,19.4,131.3,6.7,22.7,18.7,119.0,531.4,80.5,16.1,74.0
86,25626760,5.3,6.5,7.1,2.5,8.5,3.3,7.9,9.9,40.3,19.4,127.2,6.4,22.1,18.1,116.6,527.8,78.7,16.4,73.0
87,25926760,6.1,7.5,8.0,3.3,9.9,4.0,8.4,10.9,46.7,20.7,137.1,7.2,24.3,20.0,126.1,579.2,85.3,17.4,74.0
88,26226760,6.1,8.4,8.9,3.3,9.2,3.5,6.8,8.8,37.0,18.1,127.9,5.7,21.1,17.0,107.1,476.1,64.6,15.5,74.0
89,26526760,5.3,7.5,8.0,3.3,9.2,3.3,7.3,9.3,33.6,17.9,118.7,6.0,20.3,17.0,108.4,492.3,68.3,16.1,74.0
90,26826760,5.5,7.5,8.0,3.0,9.2,3.3,7.3,9.3,32.8,18.1,117.7,5.8,20.3,17.0,108.2,486.6,69.0,16.1,67.0
91,27126760,6.1,8.4,8.9,3.3,11.3,4.4,7.6,9.6,39.5,18.1,127.9,6.2,23.5,20.3,138.3,647.8,74.0,15.8,62.0
92,27426760,6.1,8.4,8.9,3.3,10.6,4.2,7.6,9.8,39.5,17.7,127.5,6.2,24.0,20.5,136.4,664.3,71.7,16.4,64.0
93,27726760,6.9,9.4,10.1,3.9,12.5,5.1,7.9,10.3,51.9,18.9,152.5,6.5,27.4,23.2,154.3,735.4,77.8,16.4,67.0
94,28026760,6.1,8.4,8.9,3.3,10.6,4.2,7.4,9.8,43.7,18.1,139.8,6.1,25.0,21.1,145.6,680.1,74.6,16.1,69.0
95,28326760,5.3,7.5,8.0,2.7,9.2,3.5,8.1,10.3,38.1,19.4,123.8,6.5,22.4,19.2,131.0,597.2,84.7,16.1,69.0
96,28626760,6.1,7.5,8.0,2.7,9.2,3.5,7.9,10.4,40.3,19.4,129.2,6.8,23.2,19.7,133.9,619.1,83.5,16.4,70.0
97,28926760,6.1,8.4,8.6,3.3,9.9,4.0,7.8,9.8,39.5,18.9,131.6,6.3,23.5,20.3,139.1,646.3,76.5,16.1,72.0
98,29226760,6.1,8.4,8.9,3.3,10.6,4.2,7.8,9.9,41.8,19.4,134.1,6.4,24.3,20.8,144.8,671.1,79.1,16.1,70.0
99,29526760,6.1,8.4,8.9,3.3,10.3,4.0,7.8,9.9,41.0,18.9,132.6,6.4,24.0,20.5,142.9,670.0,77.0,16.4,70.0
100,29826760,6.1,7.5,8.6,3.3,9.9,4.0,6.9,8.9,49.6,18.9,138.8,6.4,24.0,19.7,120.9,554.4,63.3,15.8,70.0
101,30126760,6.1,8.4,8.9,3.3,9.9,4.2,6.9,9.1,53.0,19.4,144.9,6.4,24.8,20.3,122.0,557.7,63.9,15.8,70.0
102,30426760,6.1,7.5,8.0,3.3,9.9,4.0,6.9,8.9,50.0,18.9,139.2,6.3,23.5,19.5,120.4,550.8,63.3,15.8,70.0
