Packet Number,Timestamp,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Channel 15,Channel 16,Channel 17,Channel 18
1,5220119,423.4,399.7,1637.9,294.6,1016.5,555.8,56.2,65.1,1012.7,134.6,660.2,25.7,118.6,74.7,347.4,1102.8,189.4,23.4
2,5520119,12.2,16.9,18.7,6.7,24.5,11.4,9.4,12.0,148.3,24.8,265.7,8.3,41.7,28.9,131.5,524.3,94.5,17.1
3,5820119,13.0,17.8,19.0,7.6,26.3,11.6,9.3,12.3,149.5,26.4,260.3,8.7,41.5,29.2,138.3,566.2,93.9,17.1
4,6120119,10.7,14.4,15.2,5.9,19.4,8.0,7.6,9.8,123.3,22.3,227.5,7.1,34.9,24.0,105.2,407.9,71.1,15.8
5,6420119,13.0,17.8,20.5,8.4,32.0,15.4,7.4,9.4,122.5,21.8,235.7,6.8,37.3,26.8,132.6,549.4,67.1,14.5
6,6720119,12.4,17.2,18.4,7.0,25.3,10.9,7.9,10.4,146.1,23.9,263.0,7.7,41.2,29.4,141.3,597.2,74.2,15.5
7,7020119,8.4,11.3,12.2,4.2,12.8,5.1,7.6,9.8,92.7,20.8,194.0,6.9,30.7,21.6,89.5,359.8,69.4,15.8
8,7320119,10.9,15.9,18.4,7.5,30.5,13.2,7.3,9.4,63.9,20.8,177.0,6.5,28.1,21.3,118.5,512.1,67.7,15.5
9,7620119,9.9,13.1,15.2,6.1,23.8,10.0,7.4,9.8,64.6,20.4,174.9,6.4,28.1,21.1,105.7,455.7,67.1,15.5
10,7920119,9.4,13.1,15.2,6.4,24.6,10.4,7.8,10.1,45.5,20.7,134.4,6.7,24.0,19.5,117.9,530.7,73.8,16.1
11,8220119,8.9,12.2,14.0,5.3,21.2,8.9,7.3,9.8,41.8,20.4,132.0,6.4,22.1,17.2,96.0,415.1,70.4,15.5
12,8520119,8.1,10.9,12.8,5.0,18.9,7.8,6.9,9.3,46.7,20.3,149.7,6.4,24.5,19.2,104.1,459.9,62.7,15.5
13,8820119,8.4,11.3,12.5,5.0,19.6,7.6,6.8,8.9,39.2,18.5,129.6,5.7,21.1,16.4,88.1,389.6,57.0,15.2
14,9120119,9.2,12.2,13.7,5.0,20.1,8.2,7.1,9.3,56.0,20.6,155.1,6.4,25.0,19.7,106.0,452.4,65.6,15.2
