Packet Number,Timestamp,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Channel 15,Channel 16,Channel 17,Channel 18
1,53110,6.1,7.5,8.9,3.3,10.6,4.0,4.8,6.4,45.1,14.9,127.5,4.5,22.7,18.9,116.6,552.3,32.5,12.6
2,353110,8.4,10.3,12.5,4.7,14.9,6.7,6.8,9.1,45.5,19.4,129.6,6.0,23.2,18.4,111.5,504.2,60.2,14.8
3,653110,6.1,7.5,8.9,3.3,9.4,4.0,6.1,7.9,35.8,16.9,113.6,5.2,20.3,17.0,103.3,479.0,48.4,14.2
4,953110,6.6,8.1,9.5,3.3,10.1,4.0,6.9,8.9,39.5,17.4,106.0,5.7,22.1,19.7,138.3,661.1,61.9,14.5
5,1253110,5.8,7.5,8.3,3.3,9.9,4.2,5.8,7.6,41.8,16.2,123.8,4.8,21.9,18.4,112.3,509.9,45.1,13.3
6,1553110,4.6,5.6,6.2,2.5,7.1,2.6,5.3,6.8,34.3,15.2,108.5,4.5,19.8,17.0,101.9,470.8,35.4,13.3
7,1853110,6.1,6.5,8.0,3.3,9.2,4.0,5.8,7.3,42.2,16.9,124.1,4.8,21.9,18.4,108.2,494.4,43.2,13.3
8,2153110,6.1,7.5,8.9,3.3,9.9,4.0,5.6,7.3,43.3,17.3,126.9,5.0,22.4,18.7,115.7,524.6,44.0,13.3
9,2453110,6.1,7.5,8.9,3.3,9.9,4.7,5.8,7.3,44.8,17.3,127.9,5.0,22.7,18.7,112.5,509.9,43.2,13.3
10,2753110,6.1,7.5,8.9,3.3,9.9,4.4,5.6,7.3,44.0,16.9,128.9,4.8,22.4,18.4,110.0,494.1,43.2,12.9
11,3053110,5.3,6.5,7.1,2.7,8.5,3.3,5.3,6.8,34.7,15.6,111.5,4.5,19.3,15.6,90.5,409.0,37.1,12.6
12,3353110,5.3,5.6,7.1,2.5,7.8,3.3,4.9,6.6,32.5,15.2,111.8,4.3,18.8,15.1,86.2,379.9,35.8,12.3
13,3653110,4.6,5.6,6.2,2.5,6.4,2.6,5.9,7.9,28.3,15.2,94.1,4.8,18.8,17.0,116.6,545.8,50.3,13.6
14,3953110,4.6,5.6,5.3,1.6,5.8,2.2,5.3,7.3,25.3,14.4,89.3,4.5,17.4,15.6,105.8,475.1,47.4,12.6
15,4253110,4.6,5.6,5.3,1.9,5.6,2.0,5.6,7.6,28.7,14.8,96.5,4.6,18.5,15.9,102.5,468.6,49.9,13.6
16,4553110,3.8,4.7,5.3,1.6,5.1,2.0,5.4,6.9,23.8,14.0,84.2,4.2,16.4,13.8,79.7,360.1,44.2,12.9
17,4853110,3.8,4.7,4.4,1.6,4.9,2.0,5.1,6.9,28.0,14.1,96.8,4.2,17.7,15.4,95.4,429.8,42.5,12.6
18,5153110,3.8,5.0,5.3,1.6,4.9,2.0,5.3,6.8,28.3,14.1,97.8,4.1,18.0,15.4,93.8,420.5,42.1,12.3
19,5453110,4.0,4.7,5.3,1.6,5.1,2.0,4.8,6.3,26.5,14.0,96.8,4.1,16.6,14.0,83.0,367.3,36.5,12.3
20,5753110,3.8,5.6,5.3,1.6,5.3,2.0,5.4,6.9,32.1,14.4,108.1,4.5,18.5,15.1,87.0,394.3,44.7,12.6
21,6053110,4.6,5.6,5.3,1.9,5.6,2.0,5.3,6.9,31.3,15.0,112.2,4.5,18.2,14.6,79.9,344.7,43.8,12.6
22,6353110,5.3,6.5,7.1,2.5,7.1,2.6,5.3,6.9,33.9,15.2,112.2,4.5,18.8,14.8,82.4,353.3,44.8,12.6
23,6653110,4.6,6.5,6.2,2.5,6.4,2.4,5.4,7.4,33.2,14.9,113.6,4.6,19.5,15.6,89.7,398.6,48.0,12.9
24,6953110,4.6,6.5,6.2,2.5,6.4,2.2,5.4,7.1,32.5,14.5,111.1,4.6,19.0,15.4,85.6,378.8,46.9,12.6
25,7253110,4.6,6.5,6.2,2.5,6.4,2.6,5.6,7.4,32.1,14.8,111.5,4.6,19.5,15.6,87.9,393.5,49.3,13.3
26,7553110,9.9,16.3,34.2,9.3,34.1,17.0,5.8,7.8,47.1,17.3,134.4,5.0,21.1,15.9,76.7,327.1,49.5,13.3
27,7853110,4.6,5.6,6.2,2.5,6.4,2.6,5.3,7.1,38.8,16.1,124.1,4.7,21.3,17.2,97.8,448.1,39.0,12.9
28,8153110,5.3,7.5,8.6,3.0,9.4,4.0,5.8,7.4,35.0,15.6,105.7,4.7,18.2,14.8,85.1,369.5,51.6,13.3
29,8453110,5.3,6.5,8.0,2.5,9.2,3.7,5.8,7.8,36.9,15.2,101.9,4.8,19.0,14.8,84.6,377.0,53.2,13.3
30,8753110,5.0,6.5,7.7,2.7,8.9,3.7,5.9,7.9,37.7,15.2,101.9,4.9,18.8,15.4,82.7,375.6,53.2,13.6
31,9053110,5.3,7.5,8.9,3.3,10.3,4.4,5.8,7.6,42.2,15.6,114.6,4.8,20.0,15.4,81.6,352.6,53.2,13.3
32,9353110,3.0,3.7,3.5,1.6,2.8,1.3,4.5,5.8,20.5,13.0,83.9,3.5,15.6,13.2,78.6,356.9,29.9,11.7
33,9653110,3.8,4.7,4.4,1.6,4.9,2.0,5.3,6.8,33.6,14.0,109.5,4.5,18.8,14.6,83.8,373.1,46.1,12.3
34,9953110,4.3,5.6,5.3,1.6,5.6,2.0,5.6,7.3,31.7,14.4,107.0,4.6,18.2,14.6,84.3,372.0,53.0,12.6
35,10253110,4.6,5.6,5.3,1.6,5.6,2.0,5.6,7.4,32.1,14.4,107.4,4.7,18.8,14.8,83.8,374.5,53.9,12.9
36,10553110,3.0,4.7,4.4,1.6,4.2,1.3,5.3,6.8,25.7,12.8,92.4,4.1,16.4,13.0,75.6,334.6,46.5,12.3
37,10853110,3.0,3.7,4.1,1.6,3.5,1.3,4.9,6.8,24.9,12.3,90.0,4.1,16.6,13.0,73.7,328.2,45.7,11.7
38,11153110,3.8,5.6,5.3,1.6,4.9,1.7,5.4,7.3,29.8,14.0,101.9,4.5,18.0,14.3,84.3,371.2,52.8,12.3
39,11453110,3.8,5.0,5.3,1.6,4.9,2.0,5.6,7.4,32.5,13.6,104.4,4.6,18.8,15.4,86.7,398.6,49.7,12.6
40,11753110,4.6,5.6,5.6,2.2,6.4,2.0,4.8,6.4,33.6,13.6,108.5,4.1,19.0,14.8,82.4,364.1,40.2,11.7
41,12053110,4.6,5.6,6.2,2.5,6.4,2.0,5.3,6.8,27.2,14.8,92.4,4.5,16.9,13.0,69.6,304.8,41.5,13.3
42,12353110,3.8,4.7,5.3,1.6,4.9,2.0,4.9,6.4,24.9,14.4,94.4,4.1,16.4,13.0,68.3,292.6,39.2,12.6
43,12653110,3.8,4.7,5.3,1.6,4.9,2.0,5.1,6.8,25.3,14.4,93.1,4.1,16.4,13.0,68.0,298.0,38.6,12.9
44,12953110,3.8,3.7,4.4,1.6,4.2,1.3,4.9,6.6,23.5,13.6,86.2,4.1,16.1,13.2,78.1,349.7,40.2,12.6
45,13253110,3.0,3.7,4.4,1.6,4.2,1.3,4.8,6.3,23.1,13.4,85.9,3.9,15.6,12.7,73.2,323.8,39.0,12.0
46,13553110,3.0,3.7,4.4,1.6,4.2,1.3,4.9,6.4,22.4,13.2,86.6,4.1,15.6,13.0,73.7,330.7,39.6,12.3
