Packet Number,Timestamp,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Channel 15,Channel 16,Channel 17,Channel 18
1,26971712,13.2,17.8,19.9,7.3,28.6,12.2,7.8,9.9,129.6,23.2,250.0,7.3,40.4,31.7,187.4,810.1,74.7,15.5
2,27271712,10.4,13.1,14.6,5.6,17.7,8.2,8.3,10.4,147.6,23.3,260.3,7.5,43.3,33.8,190.9,856.8,77.4,16.1
3,27571712,10.1,12.8,14.3,5.0,16.7,7.6,8.3,10.4,148.4,23.6,254.5,7.3,40.9,32.7,203.9,899.9,80.7,15.5
4,27871712,11.2,14.7,16.0,6.4,21.0,9.6,8.7,11.1,121.1,21.7,239.5,7.6,40.4,30.8,161.3,771.0,65.4,15.4
5,28171712,11.5,15.0,16.0,5.9,21.0,8.2,6.9,8.9,86.7,20.6,199.2,6.4,34.4,28.1,164.0,737.2,63.5,15.5
6,28471712,10.7,14.1,15.7,5.9,19.2,8.7,8.3,10.6,102.3,24.4,198.8,7.6,35.2,31.1,212.1,985.0,79.9,16.1
7,28771712,9.9,12.8,13.7,5.0,17.0,7.4,7.3,9.4,75.5,21.1,161.3,6.5,28.2,24.6,158.6,714.6,69.4,15.2
8,29071712,9.4,12.8,13.7,5.0,17.0,7.1,6.1,7.9,75.8,19.3,164.7,6.0,27.6,22.9,124.7,566.6,50.9,14.2
9,29371712,10.7,14.4,15.4,5.9,19.2,7.8,7.8,9.9,104.2,23.7,206.4,7.3,34.4,27.8,167.9,740.4,73.2,15.8
10,29671712,10.7,14.1,15.2,5.9,18.9,8.4,7.6,10.1,122.9,22.8,224.4,6.9,37.0,29.4,170.6,747.2,71.7,15.5
11,29971712,9.2,11.6,12.2,4.2,13.7,5.5,7.9,10.3,87.4,21.9,173.2,7.1,30.5,26.0,161.1,726.1,76.5,16.1
12,30271712,10.4,14.0,15.1,5.6,18.9,8.0,6.1,7.9,107.9,19.5,231.0,5.8,37.6,27.6,141.8,621.9,50.5,13.9
13,30571712,46.5,23.8,34.8,10.6,37.9,19.0,7.9,10.1,104.2,23.7,209.8,7.3,34.2,27.0,151.0,647.8,74.5,15.8
14,30871712,10.7,13.7,14.8,6.4,19.6,8.9,7.4,9.6,106.8,21.9,205.0,6.8,34.4,27.6,151.6,668.3,69.4,15.5
15,31171712,8.6,10.9,11.3,4.2,12.5,4.9,7.3,9.3,94.5,21.4,184.5,6.4,30.5,25.2,148.8,646.7,66.7,15.2
16,31471712,10.4,14.1,14.6,5.3,20.1,8.2,6.6,8.6,77.3,20.8,173.6,6.2,29.2,22.9,130.2,566.6,59.9,14.5
17,31771712,6.9,9.4,9.8,3.3,11.3,4.7,5.6,7.1,89.6,15.3,192.0,4.7,33.9,27.6,166.0,761.3,44.6,12.9
18,32071712,6.1,7.5,8.0,3.3,8.5,3.3,6.9,8.4,79.9,17.0,190.3,5.6,33.6,26.5,152.1,684.4,63.3,14.5
19,32371712,6.9,8.4,8.9,3.3,9.6,3.7,6.1,8.1,84.8,16.0,196.4,5.0,35.2,26.8,136.1,610.5,53.2,14.2
20,32671712,6.9,8.4,8.9,3.3,9.9,4.0,6.6,8.3,81.8,16.6,185.9,5.3,32.3,24.9,133.7,600.7,58.0,14.5
21,32971712,6.1,7.5,8.0,3.3,9.6,4.0,6.9,8.9,85.2,19.8,175.3,6.2,31.0,24.8,139.9,641.3,63.7,15.5
22,33271712,6.1,7.5,7.1,2.5,7.8,3.3,6.3,8.3,81.8,18.6,171.9,5.8,28.7,22.7,124.2,547.2,55.8,15.2
23,33571712,7.1,9.4,9.5,3.3,11.3,5.3,6.8,8.8,90.8,20.2,180.1,6.1,29.4,23.2,125.3,547.2,60.4,15.2
24,33871712,12.2,20.3,45.2,5.0,47.6,7.8,9.0,11.5,132.6,35.3,250.4,8.3,37.8,31.6,229.4,910.7,107.6,17.0
25,34171712,7.6,9.7,10.7,4.2,12.2,5.3,8.3,10.8,113.6,24.0,205.0,7.5,34.1,28.9,185.8,828.5,84.5,16.1
26,34471712,7.6,10.3,9.8,3.6,11.5,4.7,7.4,9.6,71.3,21.2,152.5,6.7,26.6,22.9,144.2,647.1,73.0,16.1
27,34771712,9.2,12.2,12.5,4.7,15.8,7.6,7.4,9.4,77.7,22.4,160.3,6.8,27.4,22.7,134.8,588.9,71.9,16.1
28,35071712,7.4,9.3,10.1,3.6,11.1,4.6,7.3,9.4,105.0,22.6,186.6,6.8,31.5,25.7,149.9,645.3,73.8,15.5
29,35371712,8.4,11.3,11.6,4.2,14.2,6.0,7.3,9.3,76.2,21.0,159.6,6.4,27.1,22.7,137.8,608.6,69.6,15.8
30,35671712,7.9,9.7,10.1,3.6,11.5,4.4,7.3,9.8,101.2,21.7,180.1,6.7,30.7,26.0,151.3,689.4,69.6,15.5
31,35971712,11.2,15.3,16.9,6.4,24.8,12.2,8.7,11.1,103.1,29.6,198.2,9.2,34.4,29.7,199.1,885.2,100.9,17.1
32,36271712,6.6,8.1,8.6,3.0,8.9,3.5,7.3,9.4,78.4,20.7,170.5,6.5,29.5,24.6,147.2,666.8,69.8,15.8
33,36571712,7.1,8.7,9.8,3.3,11.0,4.7,7.3,9.3,116.6,20.2,205.3,6.4,34.4,27.8,166.2,735.8,70.4,15.8
34,36871712,6.9,8.4,8.9,3.3,9.2,3.3,6.1,7.8,58.3,18.1,147.4,5.4,25.5,20.8,118.0,522.5,50.9,14.2
35,37171712,9.2,12.8,14.6,5.3,19.1,8.5,6.1,8.1,94.9,18.3,186.6,5.7,30.2,21.9,100.9,421.1,54.3,13.9
36,37471712,6.6,9.0,10.1,3.9,12.7,5.1,5.3,7.1,73.9,17.7,163.0,5.3,25.8,18.6,87.3,357.6,43.2,12.3
37,37771712,6.9,9.4,8.9,3.3,12.0,5.3,4.4,5.5,62.0,14.4,138.8,4.5,22.7,17.2,88.7,380.2,35.2,9.5
38,38071712,5.3,7.1,7.1,2.5,8.2,3.3,5.3,6.9,60.1,16.7,137.8,5.2,22.7,17.0,79.7,334.6,45.7,12.3
39,38371712,5.5,7.8,8.3,3.0,9.4,4.0,4.9,6.4,57.5,16.5,130.6,4.9,21.3,16.2,77.8,322.0,37.9,11.7
40,38671712,6.9,9.4,9.2,3.3,12.5,5.3,4.4,5.8,56.4,15.2,132.0,4.5,21.1,15.4,75.6,312.4,37.1,10.4
41,38971712,6.9,9.4,9.8,3.3,12.2,5.3,4.8,6.3,56.0,16.9,127.9,5.0,21.3,16.4,84.0,351.9,39.0,11.7
42,39271712,5.0,6.5,7.1,2.2,7.8,2.8,4.9,6.6,54.1,17.4,130.9,5.4,21.3,16.4,83.0,348.6,43.2,11.7
