Packet Number,Timestamp,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Channel 15,Channel 16,Channel 17,Channel 18
801,14366041,102.1,29.2,77.8,13.5,39.1,21.2,10.0,10.3,31.0,13.6,21.4,2.6,3.9,3.2,10.5,25.0,4.4,4.7
802,21033967,10.4,13.7,15.7,5.9,21.3,9.8,9.3,11.8,127.8,25.7,242.9,8.4,39.4,30.0,166.0,723.6,88.9,17.4
803,21333967,9.2,12.2,13.4,5.0,17.7,7.8,8.1,10.3,116.2,22.7,227.5,7.1,35.2,25.2,114.1,456.0,75.7,17.1
804,21633967,10.7,14.1,16.0,6.7,27.2,12.1,7.3,9.3,111.3,21.8,224.8,6.7,34.4,23.7,106.0,415.4,63.3,15.8
805,21933967,9.2,13.1,14.3,5.9,22.7,9.4,6.8,8.8,97.5,18.1,213.9,5.6,32.1,21.9,97.6,383.1,60.6,14.8
806,22233967,7.8,11.3,11.6,4.2,15.8,6.4,6.8,8.9,106.5,19.8,216.9,6.0,32.3,22.1,93.3,354.8,64.6,15.2
807,22533967,9.2,12.2,12.8,5.0,16.7,6.7,6.8,8.9,79.9,20.2,180.4,6.0,27.9,19.5,80.7,311.7,61.0,15.2
808,22833967,9.2,12.2,13.4,5.0,19.9,8.0,6.8,9.1,96.7,20.6,211.8,6.2,31.8,21.6,87.6,329.6,62.3,15.5
809,23133967,9.2,12.2,12.5,5.0,17.7,6.7,7.3,9.8,73.2,21.0,173.2,6.7,26.8,19.5,86.4,339.7,70.9,16.1
810,23433967,8.6,11.3,12.5,5.0,16.3,6.2,7.4,9.6,75.1,20.7,174.3,6.4,27.6,19.7,81.6,322.1,68.3,16.1
811,23733967,9.2,12.2,13.1,5.0,18.6,7.4,7.3,9.6,81.8,20.6,189.3,6.3,29.0,21.1,98.9,397.9,68.3,16.1
812,24033967,8.4,10.9,11.6,4.2,12.8,5.1,7.6,9.8,99.4,23.1,195.4,7.2,30.0,21.9,98.4,387.0,70.9,15.8
813,24333967,8.9,12.2,12.5,4.2,14.2,5.3,7.8,9.9,96.0,23.5,193.4,7.2,29.7,21.9,99.2,396.4,72.1,16.4
814,24633967,8.4,11.3,12.5,4.4,14.2,6.0,7.6,9.9,100.5,23.5,192.7,7.3,30.5,21.9,99.5,399.3,69.6,16.4
815,24933967,9.9,14.1,14.3,5.0,17.9,7.4,7.4,9.8,105.7,24.7,205.7,7.6,30.7,22.9,114.9,459.2,72.3,15.8
816,25233967,7.6,10.3,10.7,3.3,11.3,4.0,7.8,10.1,83.3,22.7,190.4,7.1,29.0,21.1,96.8,385.7,74.6,16.1
817,25533967,7.6,10.3,10.7,4.2,12.0,4.7,7.6,9.8,88.2,21.8,185.9,6.7,28.2,20.3,91.1,355.5,72.8,15.8
818,25833967,7.6,9.4,9.8,3.3,10.6,4.0,7.3,9.4,81.0,21.0,175.3,6.5,27.4,19.5,87.3,344.7,69.4,15.2
819,26133967,7.6,9.4,9.8,3.3,10.6,4.0,7.3,9.3,94.9,21.0,196.1,6.4,30.2,21.6,96.5,376.7,69.2,15.2
820,26433967,7.6,9.4,9.8,3.3,10.6,4.0,7.6,9.9,96.4,21.2,192.7,6.8,29.9,21.3,96.5,393.5,70.4,15.5
821,26733967,7.8,10.3,10.7,4.2,12.0,4.7,7.3,9.4,92.6,22.3,184.5,7.1,29.7,22.9,125.0,532.1,63.9,15.5
822,27033967,7.6,10.3,10.7,4.2,12.0,4.7,7.3,9.4,89.7,22.3,182.8,7.1,29.2,22.7,123.9,531.8,63.3,15.5
823,27333967,6.9,9.4,9.8,3.3,10.6,4.0,7.8,10.1,79.9,22.3,177.3,6.9,27.9,20.3,97.0,390.0,76.3,15.8
824,27633967,7.6,9.4,9.8,3.3,11.3,4.0,8.1,10.3,85.9,23.1,184.8,7.3,29.2,21.6,107.4,435.9,79.7,16.1
825,27933967,7.3,9.4,9.8,3.3,10.1,3.7,6.9,9.4,72.5,19.0,161.7,6.1,26.6,19.5,91.3,385.6,62.5,15.8
826,28233967,7.6,10.3,10.7,4.2,12.0,4.9,7.3,9.6,94.5,21.8,178.1,6.9,29.2,21.9,109.5,465.3,64.1,16.1
827,28533967,7.6,10.3,10.1,3.6,11.5,4.7,7.1,9.4,90.4,21.8,175.6,6.8,27.9,21.1,104.3,432.3,63.1,15.8
